Eng,Application,Mkt,Addl,Comp,Power,Power RPM,Torque,Torque RPM,Redline,Rev lmt,iVTEC Engagement,Intake Manifold,Fuel Injection
K20A,2001-2006 Honda Civic Type R,JDM,,11.5:1,212,8000,149,7000,,8400.0,6000,PRC,
K20A,2001-2006 Honda Integra Type R,JDM,,11.5:1,217,8000,152,7000,8400,8600.0,6000,PRC,
K20A,2002-2008 Honda Accord Euro R,JDM,,11.5:1,217,8000,152,6000,,8400.0,6000,RBC,
K20A,2007-2011 Honda Civic Type R,JDM,,11.7:1,221,8000,159,6100,8400,8600.0,5800,RRC,
K20A,2000-2006 Honda Stream,JDM,"RN3, FWD",9.7:1,154,6500,139,4000,6800,,,PNC,
K20A,2000-2006 Honda Stream,JDM,"RN4, AWD",9.8:1,156,6500,140,4000,6800,7000.0,,PNC,
K20A,2001-2004 Honda CR-V,JDM,,9.8:1,150,6500,140,4000,6800,,,PNA,
K20A,2001-2005 Honda Stepwgn,JDM,,9.8:1,158,6500,141,4000,6800,,,PNC,
K20A,2001-2005 Honda Stepwgn Spada,JDM,,9.7:1,158,6500,141,4000,6800,,,PNC,
K20A,2001-2006 Honda Integra Type S,JDM,,9.8:1,158,6500,141,4000,6800,,,PNC,
K20A,2002-2008 Honda Accord,JDM,"CL7-CM1, FWD",9.8:1,153,6000,139,4500,6800,,,RAA,
K20A,2002-2008 Honda Accord,JDM,"CL8, AWD",9.8:1,150,6000,137,4500,6800,,,RAA,
K20A,2004-2009 Honda Edix,JDM,,9.7:1,154,6500,139,4000,6800,,,PNC,
K20A,2005-2009 Honda Stepwgn,JDM,,9.6:1,153,6000,139,4500,6800,,,RTA,
K20A,2005-2010 Honda Civic,JDM,,9.6:1,153,6000,139,4500,6800,,,RTB,
K20A1,2001-2006 Honda Stream,RN3,FWD,9.7:1,156,6500,139,4000,6800,,,PNA,
K20A1,2001-2006 Honda Stream,RN4,AWD,9.8:1,158,6500,140,4000,6800,,,PNC,
K20A2,2001-2006 Honda Civic Type R,EDM,,11.0:1,200,7400,139,5900,7900,8250.0,5800,PRB,
K20A2,2002-2004 Acura RSX Type S,,,11.0:1,200,7400,142,6000,7900,8250.0,5800,PRB,
K20A2,2002-2004 Honda Integra Type R,AU/NZDM,,11.0:1,200,7400,142,6000,7800,8100.0,5800,,
